s	value
7139503649729055185	<https://bildgrid.org/Z%3A%20personal%20collections/Veronika%20Sladka/Initials/Jan%20Hus/>
9816610358951523578	<https://iconclass.org/id/2bb3474deb8bcb6de4831462ea98bd1017d0307d>
1327008530223471987	<https://iconclass.org/id/a1d3458b02834d0880ba10540a579bc4435033fc>
2567065649912625436	<https://iconclass.org/id/d128bc82c00b569ba1a6b230818b3e4ed0f8f660>
4936931830175412817	<https://iconclass.org/id/cbcf20275d19642610a74133599b98d93bd3cb30>
15589628905867530820	<https://iconclass.org/id/9c60605718158fe0ebbef575384d6de92bf9511e>
13645103966380635075	<https://iconclass.org/id/a767a716da5a484a27804164bd97aee86a25be81>
13863486918796701683	<https://iconclass.org/id/fc8963594a64711728a362cef120460577b9676a>
2661581678202693695	<https://iconclass.org/id/bd5d415bd57442501a4fd07df7962a1bf51b1868>
11162386747540950617	<https://iconclass.org/id/f29203be8d033b37953d95b3b52ae95b5b850237>
12192331325109011324	<https://iconclass.org/id/13ac77d9c877bce2d2be21db455830f8839a5dd2>
12691307942112646251	<https://iconclass.org/id/78f2de66fd7c8d6325c3329f5ee7369995985f7c>
549582325951806142	<https://iconclass.org/id/09715b3c09cace38eafafeed3fb1f30ecf315d95>
12441522396601009420	<https://iconclass.org/id/431bf989c79964420a7d672bde71caeb8769ee71>
7833782173215755317	<https://iconclass.org/id/fca08b3cf6f1721a4ffeb0803b9e2603729086b5>
5304681097530850553	<https://iconclass.org/id/7d5ffab6259f53ecaa0c420c38df00d81c3c917e>
12955385201123769742	<https://iconclass.org/id/15759d1d6060dd34c1384bda77a47b346f1f13da>
7449848130354816786	<https://iconclass.org/id/425c29e235d545d7a8004a267c6bbb298dd8c764>
6237160294778345582	<https://iconclass.org/id/02b22acce7f011ab598f04796c38409f9eaf6215>
16376322040939067976	<https://iconclass.org/id/cf696a78682e32ba05442ae581e7062ac357a530>
11641198026008855658	<https://iconclass.org/id/7b7d15f4219fe5ea3f3f23377fa08b8e94f5e5ab>
2010281262701990553	<https://iconclass.org/id/f06601eb3fc78cabd37cc76498a616ecfe63f014>
13461956401420972208	<https://iconclass.org/id/503aba258a1fbdab81cd0c05cc3553e7373e5cb3>
17950679288362120890	<https://iconclass.org/id/61083cb424feff238e3265d40fc6013d95238ade>
8943971519715510064	<https://iconclass.org/id/0d37f4613b3003e37f6a77e57863270c5c39a2c0>
15254837055937412712	<https://iconclass.org/id/adbe128e030053c6646d946bb786d53afc1f970c>
3077323590318850904	<https://iconclass.org/id/18fafa775663484d93075b1f0bc45f972d71824c>
4188653426568909638	<https://iconclass.org/id/c7592389148ba5fc18b3c992caf6e4098025f232>
